Date,Value
#Historical monthly oil prices (Per Barrel)
1/1/1946,1.17
2/1/1946,1.17
3/1/1946,1.17
4/1/1946,1.27
5/1/1946,1.27
6/1/1946,1.27
7/1/1946,1.27
8/1/1946,1.52
9/1/1946,1.52
10/1/1946,1.52
11/1/1946,1.52
12/1/1946,1.62
1/1/1947,1.62
2/1/1947,1.62
3/1/1947,1.62
4/1/1947,1.87
5/1/1947,1.87
6/1/1947,1.87
7/1/1947,1.87
8/1/1947,1.87
9/1/1947,1.87
10/1/1947,1.87
11/1/1947,2.07
12/1/1947,2.07
1/1/1948,2.57
2/1/1948,2.57
3/1/1948,2.57
4/1/1948,2.57
5/1/1948,2.57
6/1/1948,2.57
7/1/1948,2.57
8/1/1948,2.57
9/1/1948,2.57
10/1/1948,2.57
11/1/1948,2.57
12/1/1948,2.57
1/1/1949,2.57
2/1/1949,2.57
3/1/1949,2.57
4/1/1949,2.57
5/1/1949,2.57
6/1/1949,2.57
7/1/1949,2.57
8/1/1949,2.57
9/1/1949,2.57
10/1/1949,2.57
11/1/1949,2.57
12/1/1949,2.57
1/1/1950,2.57
2/1/1950,2.57
3/1/1950,2.57
4/1/1950,2.57
5/1/1950,2.57
6/1/1950,2.57
7/1/1950,2.57
8/1/1950,2.57
9/1/1950,2.57
10/1/1950,2.57
11/1/1950,2.57
12/1/1950,2.57
1/1/1951,2.57
2/1/1951,2.57
3/1/1951,2.57
4/1/1951,2.57
5/1/1951,2.57
6/1/1951,2.57
7/1/1951,2.57
8/1/1951,2.57
9/1/1951,2.57
10/1/1951,2.57
11/1/1951,2.57
12/1/1951,2.57
1/1/1952,2.57
2/1/1952,2.57
3/1/1952,2.57
4/1/1952,2.57
5/1/1952,2.57
6/1/1952,2.57
7/1/1952,2.57
8/1/1952,2.57
9/1/1952,2.57
10/1/1952,2.57
11/1/1952,2.57
12/1/1952,2.57
1/1/1953,2.57
2/1/1953,2.57
3/1/1953,2.57
4/1/1953,2.57
5/1/1953,2.57
6/1/1953,2.82
7/1/1953,2.82
8/1/1953,2.82
9/1/1953,2.82
10/1/1953,2.82
11/1/1953,2.82
12/1/1953,2.82
1/1/1954,2.82
2/1/1954,2.82
3/1/1954,2.82
4/1/1954,2.82
5/1/1954,2.82
6/1/1954,2.82
7/1/1954,2.82
8/1/1954,2.82
9/1/1954,2.82
10/1/1954,2.82
11/1/1954,2.82
12/1/1954,2.82
1/1/1955,2.82
2/1/1955,2.82
3/1/1955,2.82
4/1/1955,2.82
5/1/1955,2.82
6/1/1955,2.82
7/1/1955,2.82
8/1/1955,2.82
9/1/1955,2.82
10/1/1955,2.82
11/1/1955,2.82
12/1/1955,2.82
1/1/1956,2.82
2/1/1956,2.82
3/1/1956,2.82
4/1/1956,2.82
5/1/1956,2.82
6/1/1956,2.82
7/1/1956,2.82
8/1/1956,2.82
9/1/1956,2.82
10/1/1956,2.82
11/1/1956,2.82
12/1/1956,2.82
1/1/1957,2.82
2/1/1957,3.07
3/1/1957,3.07
4/1/1957,3.07
5/1/1957,3.07
6/1/1957,3.07
7/1/1957,3.07
8/1/1957,3.07
9/1/1957,3.07
